city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,homeowner_tax,rent_amount,property_tax,fire_insurance,total
Sao Paulo,70,2,1,1,7,acept,furnished,2065,3300,211,42,5618
Sao Paulo,320,4,4,0,20,acept,not furnished,1200,4960,1750,63,7973
Porto Alegre,80,1,1,1,6,acept,not furnished,1000,2800,0,41,3841
Porto Alegre,51,2,1,0,2,acept,not furnished,270,1112,22,17,1421
Sao Paulo,25,1,1,0,1,not acept,not furnished,0,800,25,11,836
Rio de Janeiro,72,2,1,0,7,acept,not furnished,740,1900,85,25,2750
Sao Paulo,213,4,4,4,4,acept,not furnished,2254,3223,1735,41,7253
Sao Paulo,152,2,2,1,3,acept,furnished,1000,15000,250,191,16440
Rio de Janeiro,35,1,1,0,2,acept,furnished,590,2300,35,30,2955
Sao Paulo,26,1,1,0,2,acept,furnished,470,2100,150,27,2747
Campinas,46,1,1,1,10,acept,not furnished,550,580,43,8,1181
Sao Paulo,36,1,1,0,11,acept,not furnished,359,2100,70,27,2556
Sao Paulo,55,1,1,1,2,acept,furnished,790,4200,224,54,5268
Sao Paulo,100,2,2,2,24,acept,furnished,900,4370,17,56,5343
Sao Paulo,110,2,2,1,1,acept,not furnished,700,3000,122,39,3861
Rio de Janeiro,88,2,3,1,9,not acept,furnished,1614,3500,221,16,5351
Rio de Janeiro,56,2,1,0,8,acept,not furnished,800,1220,0,16,2036
Belo Horizonte,42,1,1,1,17,not acept,furnished,470,2690,172,36,3368
Sao Paulo,160,3,2,2,18,acept,furnished,1530,1900,167,25,3622
Rio de Janeiro,90,3,2,1,7,acept,not furnished,800,1800,118,24,2742
Sao Paulo,49,1,1,1,10,acept,not furnished,480,3500,42,45,4067
Sao Paulo,41,1,1,1,5,not acept,furnished,600,3000,0,39,3639
Belo Horizonte,64,2,2,1,11,acept,not furnished,352,1500,80,20,1952
Sao Paulo,20,1,1,0,5,acept,furnished,602,1800,130,23,2555
Sao Paulo,55,2,2,2,6,acept,not furnished,780,1068,142,14,2004
Sao Paulo,32,1,1,0,3,acept,not furnished,515,1700,29,22,2266
Sao Paulo,80,2,2,1,11,acept,not furnished,1208,2550,216,33,4007
Rio de Janeiro,45,1,1,1,10,acept,furnished,2450,2500,593,33,5576
Sao Paulo,350,4,4,3,8,acept,not furnished,2100,4000,500,51,6651
Porto Alegre,38,1,1,2,11,not acept,not furnished,450,1750,0,26,2226
Sao Paulo,30,1,1,0,1,acept,not furnished,460,1600,0,21,2081
Porto Alegre,40,1,1,1,6,acept,furnished,390,2990,0,44,3424
Sao Paulo,300,4,6,4,20,acept,not furnished,3700,12000,1584,153,17440
Belo Horizonte,200,4,2,1,7,not acept,not furnished,850,2550,9,34,3443
Belo Horizonte,45,1,1,1,5,acept,not furnished,500,1631,192,12,2335
Sao Paulo,360,4,5,0,1,acept,not furnished,4000,6410,2000,82,12490
Sao Paulo,40,1,1,1,10,acept,furnished,978,2829,0,33,3840
Belo Horizonte,100,3,1,0,13,not acept,not furnished,700,1220,10,17,1947
Porto Alegre,42,1,1,2,2,acept,furnished,190,1770,17,26,2003
Campinas,250,3,3,2,1,acept,not furnished,2200,1700,256,22,4178
Campinas,48,1,1,1,2,acept,furnished,505,1600,59,21,2185
Rio de Janeiro,90,3,3,1,10,acept,not furnished,1250,3800,147,49,5246
Sao Paulo,45,1,2,1,15,acept,furnished,856,3900,150,50,4956
Rio de Janeiro,150,2,3,4,6,acept,not furnished,1700,4000,700,52,6452
Sao Paulo,60,2,1,0,2,acept,not furnished,200,1445,0,19,1664
Sao Paulo,31,1,1,0,4,acept,not furnished,370,2350,56,30,2806
Sao Paulo,210,4,5,4,4,not acept,not furnished,1650,9000,772,115,11540
Campinas,93,2,3,2,9,acept,not furnished,663,5500,133,70,6366
Porto Alegre,75,3,2,1,9,acept,not furnished,340,1800,109,27,2276
Sao Paulo,41,1,1,1,6,acept,furnished,523,4000,131,51,4705
Rio de Janeiro,65,1,1,1,8,acept,furnished,2000,5100,250,66,7416
Sao Paulo,70,2,1,1,13,acept,not furnished,761,2150,67,28,3006
Sao Paulo,278,4,5,2,16,acept,furnished,4052,9000,1261,115,14430
Rio de Janeiro,35,1,1,0,5,acept,not furnished,306,1521,21,20,1868
Campinas,300,4,4,3,2,acept,not furnished,2300,6000,417,77,8794
Sao Paulo,61,2,1,1,4,acept,not furnished,459,1850,0,24,2333
Rio de Janeiro,130,3,2,1,7,acept,not furnished,1660,1700,475,22,3857
Rio de Janeiro,80,2,1,1,20,acept,not furnished,500,900,90,12,1502
Sao Paulo,164,4,4,2,6,not acept,not furnished,2159,5000,386,64,7609
Belo Horizonte,220,4,2,3,3,acept,not furnished,450,2422,125,33,3030
Sao Paulo,108,3,2,2,7,acept,not furnished,1290,5600,435,71,7396
Belo Horizonte,128,1,1,0,4,acept,furnished,418,2100,182,28,2728
Rio de Janeiro,60,1,1,0,10,not acept,not furnished,450,1800,48,24,2322
Sao Paulo,250,4,5,4,6,acept,not furnished,2050,9800,998,125,12970
Porto Alegre,47,1,1,1,1,not acept,furnished,400,2200,0,33,2633
Belo Horizonte,170,4,3,4,9,not acept,not furnished,744,2700,296,36,3776
Sao Paulo,45,1,1,0,1,not acept,not furnished,300,1240,0,16,1556
Sao Paulo,42,1,1,1,15,acept,not furnished,686,3500,123,45,4354
Sao Paulo,164,4,4,3,1,acept,not furnished,1840,6000,550,77,8467
Sao Paulo,70,3,1,1,1,acept,not furnished,700,1020,200,13,1933
Porto Alegre,100,4,3,1,8,acept,not furnished,600,2200,159,33,2992
Sao Paulo,64,2,2,2,4,acept,furnished,1300,4500,440,58,6298
Belo Horizonte,68,2,1,1,3,acept,not furnished,320,1200,27,16,1563
Belo Horizonte,75,2,2,2,14,not acept,not furnished,620,2500,264,34,3418
Sao Paulo,600,4,4,4,9,acept,not furnished,7400,8500,3368,108,19380
Sao Paulo,63,2,2,0,15,not acept,not furnished,590,1550,152,20,2312
Sao Paulo,145,3,4,3,1,not acept,not furnished,1200,6000,750,77,8027
Sao Paulo,85,2,2,2,3,not acept,not furnished,1500,2800,292,36,4628
Sao Paulo,254,4,4,4,7,acept,not furnished,3366,9000,1800,115,14280
Sao Paulo,64,2,2,2,8,acept,not furnished,450,2800,30,36,3316
Sao Paulo,133,3,2,0,6,acept,not furnished,813,2957,38,38,3846
Campinas,44,1,1,0,7,acept,not furnished,350,550,12,7,919
Porto Alegre,70,3,2,1,4,acept,not furnished,490,2500,8,37,3035
Sao Paulo,22,1,1,0,26,acept,not furnished,302,2050,45,26,2423
Porto Alegre,50,1,1,1,1,acept,not furnished,350,950,50,14,1364
Porto Alegre,67,3,2,2,4,acept,not furnished,600,2200,50,33,2883
Sao Paulo,31,1,1,0,6,acept,furnished,430,2300,0,30,2760
Rio de Janeiro,90,2,1,1,1,acept,furnished,850,3468,191,45,4554
Rio de Janeiro,109,3,3,1,1,acept,not furnished,2000,3800,300,49,6149
Campinas,284,4,3,3,4,acept,not furnished,2340,6000,483,77,8900
Porto Alegre,70,2,1,1,3,acept,furnished,360,2400,30,36,2826
Rio de Janeiro,309,4,5,4,7,acept,not furnished,2661,6500,682,84,9927
Sao Paulo,360,3,4,1,10,acept,not furnished,2300,10000,584,127,13010
Sao Paulo,30,1,1,1,10,not acept,not furnished,886,1500,0,20,2406
Campinas,80,2,2,2,11,acept,not furnished,832,2200,171,28,3231
Belo Horizonte,133,4,4,3,6,not acept,not furnished,1500,7000,800,94,9394
Sao Paulo,38,1,1,1,14,not acept,furnished,1620,2800,279,36,4735
Sao Paulo,73,2,2,1,7,acept,not furnished,1100,3500,100,45,4745
Sao Paulo,155,3,4,2,4,acept,not furnished,1500,2000,150,26,3676
Sao Paulo,63,2,2,1,15,acept,not furnished,357,3200,50,41,3648
Sao Paulo,58,2,1,1,1,acept,not furnished,0,1400,0,18,1418
Sao Paulo,48,1,1,0,9,not acept,furnished,377,3450,0,44,3871
Sao Paulo,210,3,4,3,7,acept,not furnished,1700,2790,834,36,5360
Belo Horizonte,100,3,2,2,2,acept,not furnished,340,1600,183,22,2145
Sao Paulo,94,3,2,2,1,acept,not furnished,1337,3570,140,46,5093
Sao Paulo,94,3,3,2,3,acept,furnished,1220,5010,395,64,6689
Sao Paulo,76,3,1,1,4,acept,not furnished,1200,2500,267,32,3999
Sao Paulo,192,3,3,2,13,acept,not furnished,2100,7800,634,99,10630
Sao Paulo,217,3,4,3,1,acept,not furnished,2884,6500,0,83,9467
Sao Paulo,68,2,1,1,5,acept,not furnished,610,1400,35,18,2063
Sao Paulo,110,3,2,2,2,acept,not furnished,1145,2400,247,31,3823
Belo Horizonte,95,2,2,1,3,acept,not furnished,660,1600,164,22,2446
Sao Paulo,34,1,1,0,5,not acept,not furnished,347,1200,45,16,1608
Sao Paulo,192,3,4,3,5,acept,not furnished,2000,8000,0,102,10100
Porto Alegre,62,2,2,1,9,acept,not furnished,350,1800,75,27,2252
Campinas,44,1,1,0,3,acept,furnished,350,916,12,12,1290
Belo Horizonte,100,2,1,1,1,not acept,not furnished,250,1700,116,23,2089
Rio de Janeiro,140,3,3,1,24,not acept,not furnished,900,1370,100,18,2388
Sao Paulo,170,3,3,3,8,acept,furnished,1570,2800,648,36,5054
Sao Paulo,75,3,2,2,4,acept,not furnished,652,1600,82,21,2355
Rio de Janeiro,52,2,1,0,2,acept,not furnished,200,1200,43,16,1459
Sao Paulo,270,4,4,4,8,acept,not furnished,2200,7000,1500,89,10790
Belo Horizonte,50,2,1,1,1,acept,not furnished,160,930,60,13,1163
Sao Paulo,71,2,2,0,16,acept,not furnished,430,1920,100,25,2475
Sao Paulo,110,2,1,0,8,acept,not furnished,1100,1300,84,17,2501
Sao Paulo,220,3,4,3,8,acept,not furnished,2021,6000,996,77,9094
Sao Paulo,130,3,4,3,2,acept,not furnished,2300,4250,502,54,7106
Sao Paulo,65,2,2,2,7,acept,furnished,1037,4000,245,51,5333
Sao Paulo,96,3,2,2,17,acept,not furnished,804,3200,250,41,4295
Sao Paulo,660,4,5,5,12,acept,furnished,4800,20000,1750,254,26800
Rio de Janeiro,107,3,2,0,7,acept,furnished,1460,3200,270,42,4972
Rio de Janeiro,105,3,2,0,1,acept,not furnished,740,2200,9,29,2978
Rio de Janeiro,100,3,2,0,7,acept,not furnished,900,3290,109,43,4342
Campinas,24,1,1,0,1,not acept,furnished,230,1180,9,15,1434
Porto Alegre,44,1,1,1,2,acept,furnished,250,1500,17,22,1789
Sao Paulo,90,1,2,2,9,acept,furnished,998,2900,220,37,4155
Sao Paulo,200,4,4,2,8,acept,furnished,3000,2800,830,36,6666
Porto Alegre,90,2,1,1,2,not acept,not furnished,550,1700,110,25,2385
Sao Paulo,240,4,4,3,9,acept,not furnished,2500,2144,834,28,5506
Sao Paulo,154,4,3,3,21,acept,not furnished,1684,7000,1020,89,9793
Sao Paulo,60,2,2,2,2,acept,not furnished,2340,3230,284,41,5895
Campinas,101,3,2,0,5,acept,not furnished,780,2380,91,31,3282
Sao Paulo,110,3,3,3,4,acept,not furnished,1195,2350,687,30,4262
Belo Horizonte,90,2,2,2,3,acept,not furnished,200,2000,84,27,2311
Sao Paulo,384,4,6,4,3,not acept,furnished,3500,15000,344,191,19040
Sao Paulo,57,2,1,1,7,acept,not furnished,570,1500,67,20,2157
Sao Paulo,160,3,3,2,5,acept,furnished,1650,1500,419,20,3589
Sao Paulo,39,1,1,0,8,acept,not furnished,330,1250,19,16,1615
Campinas,78,1,2,1,4,acept,not furnished,0,2290,143,30,2463
Campinas,70,2,1,1,1,acept,not furnished,558,1200,0,16,1774
